name,text_ingradiant,food_method
?????,"- ????? 4 ??
- ????????????????
- ?????????? ??????????? 1 ????????
- ??????? ??????????? 2 ????????
- ?????? ??????? (???????????? ?) 1 ????????
- ???????? 5 ????
- ???????? 1 ????????
- ?????? 2 ????????
- ????? 1 ????????
- ??????????
- ?????
- ????????
- ???????????","?????????????? ??????????????? ??????????????????????????????????????? 1-2 ??????? ???? ???????? ?????????? ?????????????????? ????????????? ????????? ?????? ????? ?????????????? ??????????? ???????????????????? ???????????????????????????? ? ?????????????? ???????????????????? ? ???????????????????



??????????????????????????? ??????????????? ???????????????????????? ? ????????????????????? ?????????????-????????????? ???????? ??????? ??????? ???????????? ????????????????????????????? ?????????? ??????????????????????????? ??????????????? ????????????????????????????????????????????????"
??????????,"- ????????????? 5 ??
- ??????? 2 ??????
- ??????????? 2 ??????
- ??????? ???? ????????????? 1 ???????
- ?????
- ??????","??????????????????? ??????????????? 1 ????????? ???????? 2-3 ??????? ????????????????????????? 2 ???? 3 ?????????????????????????????? ???????????? ?????????????????????????????? ????????????????????????? ???????? ???????? ??????? ????????????????



**????????** ???????????? ??????????????????????? ???????????? ????????????? ???????????????????????????????? (??????????????????) ?????? ????????????????????? 2 ??? ??????????????????? ????????????????????"
??????????????????????????,"- ?????????????? 2 ???????
- ??????????? 1 ????
- ????? 1 ????????
- ???? 1 ??????
- ???????? 5 ????
- ??? 7 ????
- ?????? 1 ????????
- ?????? 15 ??????? ?
- ???????? 15 ???????? ?
- ????????????????????????????? 1/4 ????
- ??????? 1/2 ????????
- ??????","????????????????????????????? ????????????????????????????????? (???????????????????????????????) ?????????????????????? ??????????????????????????? (?????????????????????????????????????) ?????????????? ? ????????????



??????????????????????? ??????????????????????????????????????? ????????????? ?????????????????? ????? ??? ?????? ??????????????????????????? ??????????????????????? ?????????????????? ? ?????????????????????????????????????????? ???????????????????? ?????????????????????? ???????????????????? ??????????????????????? ???????????????????????? ????????????????????????????????????? ?????????????????????????? ???????????????????????? ????????????? ??????????????????????? ???????????????????????????? ???????????????"
??????????,"- ?????????????????????????????????? 1.05 ??.??. ????? 3 ????
- ???????????????????????? 1/2 ????
- ?????????????? 1/2 ????????
- ?????? 1/2 ????????
- ??????????? ???????? 1 ????
- ??????????????????????? ? 1 ???? (??????????????????????????????????)
- ??????? 2 ???
- ??????????????????? (?????????????) 1 ????
- ????????? 2 ????????
- ????????



## ??????????????????



- ???????? 5-7 ????
- ?????? (????????) 25 ???
- ???????? (????????) 20 ????
- ????????????? 1 ???
- ??? 5 ????
- ??????? 9 ????
- ??????????????????? 1 ??????
- ????????????????? ? 1/4 ????
- ????????? 1 ????????","## ??????



????????????? ????????????????? ???????? ????????? ???????? ??? ??????? ?????? ?????? ???????? ????????? ?????????????????????????? ??????????????????????????????????????????? ??????????????????????????????????????????????????????????????? ??????????????????????????????????????? ???????????? ?????? ?????????????????????????????????? (????????????????) ??????????? ???????????? ?????? ??????????????????????????? ?????????????? 1 ?????? 2 ????????? (????????????????) ??????????????? 3 ??? 4 ???????????? ?????????????? ???????????????????????? ??????????????????????????????????????? ? ?????????????????????????????????????????????????????? ??????????????????????????????????????????? ??????????????? (??????????????????????????????????? ??????????????????????????????????????????????)



## ?????????



????????????????????????????????????? ?????????????????????????????????? ??????????????????? ??????????? ? ???? ? ???????????????????????????? ?????????????????????????????? ????????????????????????? ????????????????????????????????????????????????? ? ?????????? ????????????? 6 ????????? ??????????????????????????? ???????????????????????????????????????? 25 ????????? ????????????????????????????????????????? ???????????????????????????????????? ????????????????????????? ????????????????????????????????????????????????????? ???????????????????????????? ??????????????????????????????????????? ????????????????????? ????????????????? ?????????????????????????????????? ???????????? ??????????? ??????????????????????



## ????????



????????????????????????????????????????????????????? ????????????????????? ????????????????????????????????? 18-19 ????????? ????????????????????????????????????? ? ??? ??????????????????????? ????????????????????? ? ???????????????????????????????????????????????????????? ??????????????????????????????????????? ????????????? (??????????????) ??????????????? ????????????????????????? ?????????????????????? ????????????????????????????????????????????????????????????????????????????? ?????????????????????????????????????????????? ?????????????????? ? ???? ? ???????????????????????????????????????????????????????? ?????????????????? ? ???????????????????? ?????????????????????????????? ???????????????????????????



**????????** ??????????????????????? ????????????????????????? 1 ??????? ???????? ? ??????????????????????????????"
???????????,"- ???????????????????????????????????? 1/2 ????
- ???????????????????????? ? ??? ? 1/2 ????
- ????????????? 1/4 ????
- ???????????? 1/4 ????
- ????????? 1 ?????????
- ??????????????? 1 ?????????
- ??????????????????????????????? 1/2 ????
- ???????????? 1/2 ????
- ???????????????????????????????????
- ???????????????? ? 1 ??????
- ??????????????
- ???????????? 2 ???",????????? (????????????????) ?????????????????????????????????????????? ????????????????? (?????????????) ????????????? ????????????????????? ???????????????????????????????? ?????????????????????????????????????????? ????????????????????? ??????????? ??? ?????? ???????????????????????????????????????? ?????????????????????????????????????? 2 ??????????? ??????????????? ?????? ?????????????????????????????????????????
???????????,"- ???????? 1/2 ??
- ??????? 1 ???
- ??????? 1 ???
- ??????????? (???????) 6 ???
- ???????? 1 ??? (?????????????????????????????????????????????????? 1/2 ???)
- ??????? 1 ??????
- ?????
- ???????
- ????????",??????????????????????????????????????????? ???????????????? ????????????????? ?????????????????????? ????????????? ??????????? ???????????????????? ???????????????????????? 2 ?????????????????? ???????????????????????????? (?????????) ?????????????????????????????????????????? ???????????????????? ????????????????????????????? ???????????????? ?????? ??????????????? ???????????? ? ???????????????????? ??????????????????????????????????????????????????????????? ???????????????????????????????????????????? ???????????????????????????????? ??????????????? 1 ????????????????????? ???????????????????????????? ??????????????????????????????????????????????? 30 - 45 ???? ???????????????
???????????????????,"- ???????? 1 ??????????????
- ???????? ???? ????????????????????????????????????????????
- ?????????????????????????
- ????????????? ?????????????????
- ???????????
- ??????
- ????????????????
- ??????????????????????",??????????? 1 ?????????????? ?????????????????? ????????????????????????????????????? ?????????????????? ????????????????????? ????????????????? ????????????????????? ???????????????????????????????????????????????????????????????????????????????? ?????????????? ??????????????????????? ???????? ??????????
????????????????,"- ?????????????????? ? 2 ???????
- ??????????????? 1 ???
- ??????????????? 2 ???
- ?????????? ? 1 ???????
- ??????
- ??????
- ??????
- ?????
- ????????
- ???????

## ??????????????????

- ??????????????????????? 1 ????
- ?????????????? 2 ???????????
- ??? 5 ????
- ???????????????? 3 ???
- ??? 5 ????
- ???????????????????? 1/2 ??????
- ???????? 1 ????????
- ??????? 11 ????
- ????????? 1 ??????
- ?????? 1/2 ??????","?????????????????????? ???????????????????????????????????????????????????????????? ?????????? ??? ????????? ???????? (???????????????????) ?????????????????????????? ??????????????????? ?????????? ??????? ????? ?????????????? ????????????????? ???????????????????????? ? ??????? 2 ????????? ???????????????????????? ??????????? ? ???????????????????? ??????????????????????????????????????????? ?????????? ? 2 ???? ???????????????????????????????????????????????? ????????????????????? ???????????????????????? ??????????? ???????????? ????????????????????????????? ???????????? ??????????????? ? ??????????????????? ????????? ???????????????????????? ??????????? ????????????????????? ?????????????????????????? ???????????????? ????????????????? ????? ???????? ??????????????????????? ????????? 15 ????



**????????** ??????? ??????????? ????????????? ???????????????????????"
?????,"- ??? 1 ???
- ?????? 2 ???
- ??????? 1/2 ????????
- ????????
- ????????
- ?????

## ??????????????

- ?????? 5 ???
- ???????? 7 ???
- ???????? 1 ????????
- ??? 3 ????
- ????????????? 1 ???
- ???????? 10 ???
- ??????? 3 ????
- ?????
- ?????????????",??????????????????????????????????????? ??????????????????????????????? ????????????????????????? ????????????????? ????????? 2 ???? ?????????????????????? 4 ?????????????????????? ?????????????????????????????????????? ???????????????????????? ????????????????????????????????????? ?????????????????? 4 ????????????????????? ???????????????????????? ???????????????????????????????????????????????????? ??????????????? ??????????????????????????????????????? ? ???????????????????????? 15 ????
?????????,"- ?????? 3 ???
- ????????????????????? .500 ????????
- ?????????? ? ??????? ? ??????????? 1 ?????????
- ???? 5 ????
- ?????? 6 ???
- ??????????? 5 ????
- ?????? 5 ????
- ???????? 5 ???
- ????????????? 1 ???????
- ??????????? 5 ????
- ??????????
- ????????
- ????????????
- ?????????? 1 ??????? (??????)
- ???????? 2-3 ???
- ???????????????","?????? 15 ???? ????????????????? ???????????????????????????? ????????????????? ????????????????????? 3 ????????? ?????????????????????? ???????????????????????????????????????? ???????????????????????????? ?????????????????????? ?????????????????????? 2 ??? ??????????????????????????????????????????? ?????????????????? ??????????????????????????????? ??????????? ? ?????????????????????????????????? ???????????????????????????????????? ???????????????? ????????????????? ???? ?????????????????????????????????????????????????? 1-2 ???????? ???????????????????? ??????????????????????????? ?????????????????????? ????????????????????????????????????? ? ????????????? ? ?????????????????????????????????????????????????????? ?????????????? ????????????????????????????? ????????????????????????? 4 ?????? ??????????????? 8 ???????????? 3 ???



## ???????



??????????????????????????????????? (??????????????????????????????) ??????????????????????????? ??????????????????????????????????? ???????????????????? ????????????????????????????????????? ??????????????????????????????????????????? ????????????????????????????????"
???????????,"- ?????????????? 1 ???

## ??????????????

- ???????????????? (?????) 5 ????
- ?????? 10 ???
- ???????? 5 ????
- ????????? 1/2 ???
- ????? ?????? 3 ?????????
- ?????? 3 ???
- ?????? 3 ???
- ???????? 1 ???
- ???????? 1 ????????
- ??????? 1/2 ??????
- ??????? 9 ????
- ?????????????????????????????
- ?????????
- ??????????? 1 ????????
- ?????
- ??????
- ??????
- ??????? 1/2 ????????","????????????????????????????????????????????????? ????????????????????????????? ???????? ?????????????? ?????????????????????? ???????????????????????????????? ???????????????????????????? ? ?????????????????????????????? ???????????????????? ????????? ????????? ??????????????????????????????? ????????????



## ??????????



???????????????? ???????????????? ????????????????????????????? ???????????????????????????? ???????? ??????????????????????????? ?????????????????? ?????????????????????? ????????????? ????????????? ?????????????????? ?????????????? ???????????????????? ? ??????????????????????????? ???????? ? ?????????????????????????? ??????????????????????????????????????????????????????? ????????????? ??????????????????



**????????** ???????? ????????????? ??????????????? ?????????????????????????????????????? ???????????????? ???????????????????????????????????????? ????????????????????? ????????????????"
???????????," - ????????????????????
- ??????
- ????????????
- ?????????
- ??????????
- ??????????
- ???????
- ??????
- ?????????????
- ?????????????????","???????????????????????????? ? ????????????????????????????????????????? ? ?????????????????????? ??????????????????????? ??????? ? ?????????????? ???????????????????? ?????????????????????????????????????? ??????????????????? ? ?????????????? ? ?????????????? ? ????????????????????????????? ??????????????????????????????? ? ??????????????? ????????????????????????? ???????????????????????????? ???????????????????



**????????** ??????? ?????????????????? ??? ?????????? ???????????????? ????????????"
???????,"- ???????????
- ??? 1 ??????????????????????? 15 ?????????
- ??????????? 3 ????????
- ?????????????????????????????? 1 ????????? 3 ????????
- ???????? 3 ????
- ???????? 2 ????????
- ??????? 5 ????
- ????????
- ??????",?????????????????????????????????????????? ????????????????????? 5 ??????????????????? 2 ?????? ????????????????????????????????????????????????????? 1 ????????? ??????????? ?????????????????? ???????????????????????????????????????????????????????????????????????????????????????? ?????? 1/2 ???????? ????????????????????????????????????????????????????????????????? ??????????????????????????? ?????????????????????????????????????????????? ?????????????????? ?????????????????????????????????? ?????????????????????????? ? ????????? ??????????????? (????????????????) ?????????????????? ????????????? ???????????????? (??????? 1 ???????) ??????????????????????????????????????? ???????????????????????????????????????
????????,"- ?????? 10 ???
- ??????? 2 ???
- ??????????? 1 ???????????
- ?????????? (????????????????) 1 ??????
- ??????? 1 ????????
- ??????
- ?????
- ??????
- ?????","????????????? ???????????????? ????????????????????????????????????? ????????????????? ?????????????????????????? ? ???????????????? ????????????????? ? ????????? ?????? ????????????????? ??????????? ? ??????????????? ??????????????????????????????????????????? ??????????????????????????????? ???????????? ?????????????? ???????????????????? ?????????????? ??????????????????????????????? ?????? ????? ??????????????????????????????????????????????????????????????



**????????** ??????????????????????????????????????"
????????????????,"- ????????????????? 1 ????????
- ???????????? 2 ????????
- ??? 1 ????????
- ???????? 1 ????????",??????????????????????????? ???????????????? ????????????????????? ???? ? ?????????????? ? ????????? ?????????????? ?????????????????????????????????? ???????????????????????? ???????????????? ? ???? ? ????????????????????????????
???????????????,"- ??????? 6 ???
- ????????????????? 1/2 ????
- ??????? 1 ???
- ??????? 2 ????????
- ????? 2 ??????
- ??????? 1/2 ??????
- ????? 2 ???
- ???????????????","???????????? ? ?????? ? ?????????????? (????? 2 ?.?. ??? 1 ????) ?????? 20 ???? ????????????????? 25 ?????????????????? ?????????????????????? 2 ??? ??????????????????????? ??????????????????????? 12 ??? ???????? ??????? ??? 1 ???????????????????? ????????????????? ????????????????????????????????????????????????????? ??????????? 2 ??????????? ???????????????????????????????????????????????????????????



## ???????????



??? 1 ?????????? ??????????? 4 ?.?. ????? ? ????????????"
????????????????," - ??????????
- ?????????????
- ????????
- ????????
- ???????????
- ?????????????
- ???????
- ????????????
- ????????
- ??????????
- ?????
- ?????
- ???????
- ??????
- ??????????-@?????-@???-@??????
- ??????
- ??????
- ??????",??????????????????? ??????????? (????????????????????????????) ?????????????? ????????????????????????????? ? ?????????????? ??????????????? ?????????????????????????????????? ? ????????????????????????????????????????????????????? ? ???  ?????????? ? ??????????? ??????????????? ????????????????????????? ???????????????????????????????????? ? ??????????????????????????????????????????? ????????????????????????????? ??????????????????????? ?  ??????????????? ?????? ?????? ?????????????????????
???????????,"- ????????? 2-3 ??
- ????????????? 1 ????????
- ??? 10 ??????",????????????????????? ????????????????????????????????? ?????????????????????????? ?????????????????????????????? ?????? ????? ??????????????? ????????????? ??????????????????????????????????????????? ?????? ???????????? ? ?????????????????????????
??????,"- ??? 2 ???
- ????????????? ?????????????? 4 ??????
- ??????? ?????????? ? 1 ????????","??????????????? ????????????????????????? ???????????????????????????????????????? (???????????? 30 ????) ????????????????????????? ????????????? ????????????????????????????????????????????? ????????? 45 ???????? ?????????????????????????????????????????? ? ????????????



**????????** ??????????????????????????????? ????????????????????????????????? ? ??????????? ??????????????????????????????????????????????????????????? ? ??????????????????????? ????????????????"
???????????????,"- ??????????????????????? 1 ??????
- ???
- ???????
- ??????
- ?????
- ????????????????
- ??????????",????????????????????????????????????????????? ????????????????? ??????????????????????????????????? ?????????????????? ????????????????????????? ???????????????? ?????????????????? ????? ???????????????? ?????????????????? ?????????????????
????????????????,"- ?????????? 2 ????
- ??????????????????????????????????????????
- ??????????????????????????????????????????????? ??????????????? 4-5 ????????????? ? ??? 1 ???
- ???????? (????????) 1 ???????????
- ??????
- ????????
- ?????????????
- ????????? 2 ????????",????????????????????????? ??????????????????????????? ??????????????????? 1 ???? ???????????????????????????????? ????????????????????????????????????????????????????????????? ????????????????????????????????????????? ????????????????????? ???????????????
???????????????,"- ??????????? 1 ???????????
- ????????????????? 3-4 ??????
- ??? 1 ???
- ????????? 2 ????????
- ???????? 3 ????
- ??????????",?????????? ? ???????? 3*4 ????????? ????????????????????? ? ???????????????? ?????????????????????????? ????????????????????????? ??????????????????? ???????? ?????????????????????????? ?????????????????????????????????????????????? ??????????????? ?????????????????????????????????????????????????????????????
?????????????????????,"- ??????????????????? ? 1 ??????
- ???????? (?????????????????????) 1 ??????
- ????????
- ?????
- ??????????
- ??????????
- ????????",?????????????????????????????????????? ? ????????????????????????????????????? ??????????????????????????????????? ???????? ???????? ??????????????????????? ???????????? ??????????? ?????????????????????????????
??????????,"##????

- ???? 1 ???????? (?????????????????)
- ???????? 1/2 ??
- ???????? 1 ????????
- ????????????????
- ??????? (??????)



##???????

- ???????????????? 500 ????
- ???????? 1 ??
- ???????? 1 ????????
- ??????? (??????)","##?????????? ????????

?????????????????????????????????????????????? ??????? 10 ????



##?????????????????????

????????????????????????????????????????????????? ??????? 10 ????



**????????** ?????????? ???? ???????????????????????????????????????????????????? ?????????????????? ???????????????? ????????????? ??????????? ???????? ??????? ?????????????? ????????????????????????????? 4 ??"
??????????????,"- ????????????????? 4 ????????
- ?????????? 8 ????????
- ??????????? 1 ??????
- ????? 1 ??
- ???????","??????????????????????????? 1 ??????? ??????????????????????????????????????????????????????????? ???????????????????????????????????? ??????????????????? ??????????????????????????? ?????????? ? ??????? ?????????????????????????????????????? ???????????? ???????????? 2 ??????? ??????????????????????????



????????????????????????????????????????? ?????????????????????????????????????????????? ???????????????????????? ????????????????????????????????????? ????????????????????????????????? ???????????????????????????????"
?????????????,"- ???????? 6 ????
- ???????????? (??????????????????????) ???????? 2 ????????
- ??????????????? 1 ????????
- ?????? 6 ???
- ??????????????? 1 ??
- ?????????? 2 ????????
- ?????????
- ?????
- ???????
- ??????????????????????????",?????????????????? ???????????????? ? ?????????????????????????????? ? ???????????????????? ??????????????????? ???????????????????????? ?????????????????????????????????????? 1 ?????? ???????????? ??????????? ??????? ?????????????????????????? ??????????????????????????????????? ???????????????????????????????? (????????????????????????) ??????????????????????????????????????????? ??????????????????????????????????????? ?????????? ????????????????????????? (??????)
?????????????,"- ?????? 1 ????
- ??????????????? 4 ??? (?????????????????? 5 ???)
- ??????????????? 1 ????
- ????? 2 ????????
- ??????????????","?????????????? ?????????????? (????????????????????????????) ????????????? ???????????????????????????????????? ? ????????????????????????????????????????????? (????????????) ????????? ??????????????? ? ?????? 30 ???? ???????????????? ?????????????????????????? ??????????????



????????????????????????? ????????????????????????????????????????????????????????????????????"
?????????,"- ???????????? 1/2 ??????
- ?????????? 1/2 ??????
- ??????? 6 ????????
- ??????????? 1 1/2 ??????","????????????????? ?????????????????????????????????????????????? ???????????????????????? ???????????? ????????????? (???????????) ??????????????????????????????????????????????????? ?????????????????????????????????????????????????



**????????** ????????????????????????????????????????????????? ????????????????????"
?????????,"- ?????? 2 ???
- ?????? 2 ???
- ???????????????? 1 ????????
- ?????????? 1 1/2 ??????
- ???????? 2 ???
- ???? 15 ??
- ????????? 5 ???
- ?????????????????????????? 10 ????????? ????? 6 ??
- ???????? 5 ????
- ?????? 10 ???
- ???????? 5 ????
- ?????????? 2 ????????
- ??? 5 ????
- ???????? 7 ???
- ????????? 4 ?????????
- ????? 3 ???
- ???????? 3 ????
- ??????? 5 ????
- ???????? 7 ??????
- ???????? 3 ??
- ????? 2 ???
- ????? 2 ???",??????????????? ?????????? ?????????????? ???????????????? ?????????????????????????????????????????? ??????????????????????????????? ?????????????????????????????????????? ?????????????? 4 ?????? ??????????????????? 2 ????????? ??????????? ? ??????????????? ? ???????????? 4 ???????? ????????????????????????????????? ??????????????????????????????????????? ???????????????????????????????????????????? ??????????????????????????????????????????????????????????????????????????????????????????????? ?????????????????? 8 ???? ????????????????????????????????????? ???????????????????????????????????????? ????? ? ??????????????????????? (????????????????????????????????????????) ????????? ????????????????????????????????? ??????????????????????? (??????????????????????????????????) ????????????????? ????????????????????????????? ???????????? ????????????????????
?????,"- ??????????? 1 ??????
- ???????? 1/2 ?????
- ?????? 7 ???
- ??????????????????? 1 ????????
- ???? 1 ??????
- ??? 5 ??????? ?
- ?????? 2 ????????
- ??? 2 1/2 ??????
- ??????? 1/2 ??????",???????? ?????? ?????????????? ????????????????????????????????????????????????????????????? ??????????????????? ??????????????????????????? ????????????????????? ? ??? ??????????????????????????? ????????????? ?
??????????????????,"- ??????????? 6*8 ????????? ?????? 6-8 ????
- ?????????????????????
- ??????????????????
- ??????? 5 ????
- ???????? ????????????? 2 ????????
- ?????? 1/2 ????????
- ?????? 2 ????????
- ????????? 1 ????????","?????????? ??????? ??????? ?????????????????????????????????? ????????????????????????? ????????????????? ??????????????????????????????????? ?????????????????????????????????????????????????????? ??????????????????????



**????????** ??????????????????????????????????????????"
?????????,"- ????????????????? 5 ????????
- ???????????????????????? 1/2 ??????
- ??????? 1/2 ??????
- ???????????????????????? 1 ?????????
- ??????????? 4 ????????
- ???",???????????????????? ??????????????????? ? ???? 1 ????????? ???????? ??????????????????? ?????????????????????????????????? ????????? ?????????????????? ??????????????????????????? ???????????????????????????????? ????????????????? ?????????? ????????????? ????????????????????????????? ????????????????????
?????,"- ???????????? (???????) ?????????? ???????????????????????? ? ????? ????????????? 1 ???????? 1 ???
- ??????????? 1 ????????
- ?????????? 2 ????????
- ????????????????????? 2 ????????
- ???????????? 2 ????????
- ????????????????? 1 ????
- ?????????? 1 ??????
- ??????????????? 1/2 ????????
- ?????????? 1 ??????
- ????????? 1 ????????
- ??????????????? 2 ????????","?????????????????? ???????????????????????????? ?????????????????????????????????????????????????? ?????????????????????????????? ???????? ????????????????????? ???????????????????????????????? ????????????????????????????????????? ?????????? ???????????????????????????? ????????????????? ???????????????? ?????????? ????????? ??????????????? ????????????????????????????????? ?????????????????????? ?????????????????????????? 450 ????? ?????? 1 ??????? ???????????????? ???????????????????



## ???????



?????? ?????????? ?????? ????? ??????????????????? ????????????????????????????????????"
???????,"- ??????????????? 1 ??????
- ????????????????? 1/2 ?????? (??????????????????)
- ???????????????????? 1/4 ??????
- ???????????? (???????) 1 ???????
- ??????????????? (??????) 1 ???????
- ???????? ??????? ???????????? 1 ????????? ???","??? ???????? ?????????? ???????????????????????????? ?????????????????? ??????????, ???????????? ?????????????????????? ???????????????????????????????????????????????????? ?????????????????????????????????????????????? ????????????????????????????? ???? 20 ???? ?????????????????????? ???????????????????? ??????????????????????????????? ????????????? ?"
???????," - ?????????????????
- ????????????
- ??????","# ???????
????????????????? ????????????????????????????????????????? ???????????????????????? ????????? ?????? ???????? ? ???????????????????? ?????????????? ???????????????????? ????????????????? (????????????) ????????????????"
???????????,"- ???????? 1/2 ????????
- ?????? 3 ???
- ?????? (?????)
- ??????
- ?????????
- ??????
- ??????
- ?????
- ???????
- ?????????","?????????????????????????????????????????????? ??????????? ??????? ??????????????????? 1 ???????? ??????????????????????????? ???????????? ???????????????????????????????????????????? ????????????? ? ??????????????????????? ??????????????????????????????????????????? ??????????????????????????? ????????????????????????????? ???? ? ??????????????? ???????????????????? (???????????????????????????????) ????????????????????????????? 1 ??? ??????????????????????? ????????????????? 2 ??? (?????????????????????????????????????????) ?????????????? ? ??????????????? ? ??? ? ???????????????????????????? ????????????????????????????????? (?????????) ??????????????????????????? ? ?????????????????????? ?????????????????????????????????????????????????????????????????????? ???????????????????????????????????? ???????????????????????????????????????? ?????????????????????????????



**??????????????** ???????????? 2 ???????? ????? 1 ?????? ?????? 1 ??????????? ??????? 1/2 ????????? ????????????????????????????????????????? ???? ? ????????????????????????????????????? ??????????????????????????????



**????????** ??????????????????????????????????? ????????????????????????????????????????????? ???????????????????? (????) ????????????????? ????????????????????? ???????????????????????????????????? ???????????????????????????????? ???????????????????? ???????????????????????????????????????? ??????????????????? ??????????? ??????? ???????? ????? (?????????) ??????? ???????????????? ????????? ? ????????????? ????????????????????????????????? ????????????????????????????????? ??????? ????? ???????"
